market,venue,city,venue_type,screens,est_impressions_4wk,list_rate_4wk,rate_at_10plus_screens_4wk,list_rate_per_screen_4wk
Oxford,4 Corner's Chevron (Chicken On A Stick),Oxford,Gas & C-Store,2,4689,25,20,12.50
Oxford,Amara Salon & Aesthetics,Oxford,Salon & Barber,2,10694,55,44,27.50
Oxford,B's Hickory Smoke BBQ,Oxford,Restaurant,1,23048,115,92,115.00
Oxford,Bep Haus,Oxford,Restaurant,1,22961,115,92,115.00
Oxford,Booth's Barbeque and Yard,Oxford,Restaurant,1,18370,90,72,90.00
Oxford,Built Different Fitness,Oxford,Gym & Fitness,1,16800,85,68,85.00
Oxford,Cannon Chevrolet Buick Cadillac of Oxford,Oxford,Auto Dealer,1,14812,75,60,75.00
Oxford,Cannon Collision Center,Oxford,Auto Service & Collision,1,12848,65,52,65.00
Oxford,Casa Mexicana of Oxford,Oxford,Restaurant,1,18425,90,72,90.00
Oxford,El Charro Cocina & Cantina,Oxford,Restaurant,1,14740,75,60,75.00
Oxford,Element Hair Studio,Oxford,Salon & Barber,1,8993,45,36,45.00
Oxford,Finch & Kelly,Oxford,Retail & Boutique,1,4127,25,20,25.00
Oxford,Internal Medicine Associates of Oxford,Oxford,Medical Clinic,2,12699,65,52,32.50
Oxford,James Food Center Post Office,Oxford,Gas & C-Store,1,1171,25,20,25.00
Oxford,LandShark Seafood & Catfish,Oxford,Restaurant,1,17094,85,68,85.00
Oxford,Luxe Styling Studio,Oxford,Salon & Barber,1,8106,40,32,40.00
Oxford,Magnolia Wine & Spirits,Oxford,Liquor & Wine,1,4211,25,20,25.00
Oxford,Marathon South Lamar,Oxford,Gas & C-Store,1,3080,25,20,25.00
Oxford,"Mississippi Asthma & Allergy Clinic, P.A.",Oxford,Medical Clinic,1,9071,45,36,45.00
Oxford,Nail E!,Oxford,Nail Salon,2,10992,55,44,27.50
Oxford,Nail Thology,Oxford,Nail Salon,2,10637,55,44,27.50
Oxford,Oxford Dental,Oxford,Dental,1,10146,50,40,50.00
Oxford,Oxford Park Commission,Oxford,Parks & Recreation,5,48827,175,140,35.00
Oxford,Oxford Super Tan,Oxford,Tanning Salon,1,3602,25,20,25.00
Oxford,Oxford T-Shirt Co.,Oxford,Retail & Boutique,1,4474,25,20,25.00
Oxford,Oxford-Lafayette County Chamber of Commerce,Oxford,Chamber / Office Lobby,1,2116,25,20,25.00
Oxford,Party in the Sip,Oxford,Retail & Boutique,1,4596,25,20,25.00
Oxford,Rafters Music and Food,Oxford,Bar & Nightlife,1,24414,120,96,120.00
Oxford,Rainbow Cleaners,Oxford,Dry Cleaner,1,945,25,20,25.00
Oxford,Rebel Body Fitness,Oxford,Gym & Fitness,1,26439,130,104,130.00
Oxford,Rebel Yell Rooftop Bar,Oxford,Bar & Nightlife,1,18860,95,76,95.00
Oxford,RedMed Urgent Clinic of Oxford - Jackson Ave,Oxford,Urgent Care,1,10735,55,44,55.00
Oxford,Revive Wellness of Oxford,Oxford,MedSpa & Wellness,1,13606,70,56,70.00
Oxford,Right Track Medical Group - Oxford,Oxford,Medical Clinic,3,15219,75,60,25.00
Oxford,Rosati's Pizza,Oxford,Restaurant,1,19231,95,76,95.00
Oxford,Sip Oxford,Oxford,Coffee & Smoothie,1,5419,25,20,25.00
Oxford,Southern Coop,Oxford,Restaurant,1,18791,95,76,95.00
Oxford,Stouts Carpet & Flooring,Oxford,Retail & Boutique,1,4075,25,20,25.00
Oxford,Texaco Lamar Express,Oxford,Gas & C-Store,1,3080,25,20,25.00
Oxford,The Blind Pig Pub,Oxford,Bar & Nightlife,1,30770,155,124,155.00
Oxford,The Children's Dental Center,Oxford,Dental,1,9180,45,36,45.00
Oxford,The Oxford Growler,Oxford,Bar & Nightlife,1,30770,155,124,155.00
Oxford,The Velvet Ditch - Sports Bar & Seafood,Oxford,Bar & Nightlife,1,30770,155,124,155.00
Oxford,Uno Mas Tacos y Tequila Jackson Ave,Oxford,Restaurant,1,19112,95,76,95.00
Tupelo,662 Wine and Liquor,Tupelo,Liquor & Wine,1,2729,25,20,25.00
Tupelo,Aaron Wash Beard Co,Tupelo,Salon & Barber,1,6574,35,28,35.00
Tupelo,All Shook Up Nutrition,Tupelo,Coffee & Smoothie,1,6016,30,24,30.00
Tupelo,Amsterdam Deli,Tupelo,Restaurant,1,13548,70,56,70.00
Tupelo,Cardiology Associates of North Mississippi,Tupelo,Medical Clinic,1,7712,40,32,40.00
Tupelo,CrossFit Tupelo,Tupelo,Gym & Fitness,1,12297,60,48,60.00
Tupelo,Exceed Technologies,Tupelo,Chamber / Office Lobby,1,1170,25,20,25.00
Tupelo,Her Gym,Tupelo,Gym & Fitness,1,15000,75,60,75.00
Tupelo,Hotel Tupelo,Tupelo,Hotel Lobby,1,5924,30,24,30.00
Tupelo,Little Magnolia Gifts and Apparel,Tupelo,Retail & Boutique,1,3317,25,20,25.00
Tupelo,Loaded Nutrition - Tupelo,Tupelo,Coffee & Smoothie,1,6930,35,28,35.00
Tupelo,Midtown Pointe Shopping Center,Tupelo,Shopping Center,1,5533,30,24,30.00
Tupelo,Mudcreek Wine and Spirit,Tupelo,Liquor & Wine,1,2920,25,20,25.00
Tupelo,Nail E! Tupelo,Tupelo,Nail Salon,1,6474,30,24,30.00
Tupelo,Oxford Urology - Tupelo,Tupelo,Medical Clinic,1,3733,25,20,25.00
Tupelo,Pizza Doctor,Tupelo,Restaurant,1,13555,70,56,70.00
Tupelo,Premier Aesthetics,Tupelo,MedSpa & Wellness,1,6274,30,24,30.00
Tupelo,Right Track Medical Group - Tupelo,Tupelo,Medical Clinic,1,7113,35,28,35.00
Tupelo,Second Skin Waxing,Tupelo,Salon & Barber,1,6934,35,28,35.00
Tupelo,Skate Zone in Tupelo,Tupelo,Skating Rink,2,30517,155,124,77.50
Tupelo,Sophia Misaki Beauty,Tupelo,Salon & Barber,1,14392,70,56,70.00
